year,city,country,avg_temp,global_avg_temp,LA 10-year MA,Global 10-year MA,,,,,,
1849,Los Angeles,United States,15.71,7.98,,,,0.503752075,,,,
1850,Los Angeles,United States,15.28,7.9,,,,,,,,
1851,Los Angeles,United States,15.53,8.18,,,,,,,,
1852,Los Angeles,United States,15.61,8.1,,,,,,,,
1853,Los Angeles,United States,16.27,8.04,,,,,,,,
1854,Los Angeles,United States,15.74,8.21,,,,,,,,
1855,Los Angeles,United States,15.94,8.11,,,,,,,,
1856,Los Angeles,United States,15.52,8,,,,,,,,
1857,Los Angeles,United States,16.19,7.76,,,,,,,,
1858,Los Angeles,United States,15.67,8.1,15.746,8.038,,,,,,
1859,Los Angeles,United States,15.29,8.25,15.704,8.065,,,,,,
1860,Los Angeles,United States,15.41,7.96,15.717,8.071,,,,,,
1861,Los Angeles,United States,16.51,7.85,15.815,8.038,,,,,,
1862,Los Angeles,United States,16.05,7.56,15.859,7.984,,,,,,
1863,Los Angeles,United States,15.88,8.11,15.82,7.991,,,,,,
1864,Los Angeles,United States,16.62,7.98,15.908,7.968,,,,,,
1865,Los Angeles,United States,15.89,8.18,15.903,7.975,,,,,,
1866,Los Angeles,United States,16.33,8.29,15.984,8.004,,,,,,
1867,Los Angeles,United States,16.51,8.44,16.016,8.072,,,,,,
1868,Los Angeles,United States,16.09,8.25,16.058,8.087,,,,,,
1869,Los Angeles,United States,16.05,8.43,16.134,8.105,,,,,,
1870,Los Angeles,United States,15.64,8.2,16.157,8.129,,,,,,
1871,Los Angeles,United States,15.89,8.12,16.095,8.156,,,,,,
1872,Los Angeles,United States,15.66,8.19,16.056,8.219,,,,,,
1873,Los Angeles,United States,15.7,8.35,16.038,8.243,,,,,,
1874,Los Angeles,United States,15.33,8.43,15.909,8.288,,,,,,
1875,Los Angeles,United States,16.19,7.86,15.939,8.256,,,,,,
1876,Los Angeles,United States,15.7,8.08,15.876,8.235,,,,,,
1877,Los Angeles,United States,16.24,8.54,15.849,8.245,,,,,,
1878,Los Angeles,United States,15.44,8.83,15.784,8.303,,,,,,
1879,Los Angeles,United States,15.55,8.17,15.734,8.277,,,,,,
1880,Los Angeles,United States,14.36,8.12,15.606,8.269,,,,,,
1881,Los Angeles,United States,15.65,8.27,15.582,8.284,,,,,,
1882,Los Angeles,United States,14.85,8.13,15.501,8.278,,,,,,
1883,Los Angeles,United States,15.52,7.98,15.483,8.241,,,,,,
1884,Los Angeles,United States,15.28,7.77,15.478,8.175,,,,,,
1885,Los Angeles,United States,16.44,7.92,15.503,8.181,,,,,,
1886,Los Angeles,United States,15.74,7.95,15.507,8.168,,,,,,
1887,Los Angeles,United States,15.62,7.91,15.445,8.105,,,,,,
1888,Los Angeles,United States,15.91,8.09,15.492,8.031,,,,,,
1889,Los Angeles,United States,16.22,8.32,15.559,8.046,,,,,,
1890,Los Angeles,United States,15.8,7.97,15.703,8.031,,,,,,
